Date,Entreprise,Indice,Valeur,Volume
2000-11-24,Atlantis,ATL,12.08794537324975,0
2000-11-24,Bearing,BEA,89.74091339111328,160173
2000-11-24,CURCUMA,CUR,18.14814567565918,21278075
2000-11-24,Capverseau,CAP,100.13056945800781,1349628
2000-11-24,Cil Exotica,CIL,10.5307035446167,1969136
2000-11-24,Croisement,CRO,34.88291549682617,1503895
2000-11-24,Dantwo,DAN,18.447572708129883,3662649
2000-11-24,Default Systèmes,DEF,6.8294501304626465,2279400
2000-11-24,Desaxa,DES,6.916920185089111,14948532
2000-11-24,Eau gazeuse,EGA,13.746071815490723,1453333
2000-11-24,Edenbread,EDE,7.250848497937438,0
2000-11-24,Eurobefore,AUB,5.000535599507062,0
2000-11-24,Eurofins Analyse,EUA,3.090545177459717,864320
2000-11-24,FDP,FDP,12.214954376220703,4772540
2000-11-24,Herpès Local,HER,39.91960525512695,93801
2000-11-24,Kenji,KEN,10.491991996765137,2670000
2000-11-24,L'Ofalso,LOF,61.341983795166016,724321
2000-11-24,LVMHASH,LVM,49.52151107788086,805472
2000-11-24,Leonard,LEO,5.428222179412842,753207
2000-11-24,Lepetit,LEP,9.550856378187593,0
2000-11-24,Mandarine,MAN,25.922393798828125,2597077
2000-11-24,Micheline,MIC,3.8033998012542725,1915052
2000-11-24,Milesios,MIL,28.722026824951172,227295
2000-11-24,Padaccor,PAD,4.711216449737549,876862
2000-11-24,Paindépice Groupe,PAI,20.231006622314453,208344
2000-11-24,Paris-Barque,PAR,13.498750686645508,5098878
2000-11-24,Pinot-Pinard,PP,12.704535484313965,150603
2000-11-24,Pouic,POU,14.762469291687012,494496
2000-11-24,Prêt Industriel,PRE,-51.19642056922648,0
2000-11-24,STMicrofibres,STM,19.89103748185824,0
2000-11-24,Saint-Gobelin,SAG,18.377304077148438,705940
2000-11-24,Sanufo,SAN,27.997900009155273,1061850
2000-11-24,Schneider Electric,SCH,17.232709884643555,626719
2000-11-24,Société générale,SOG,22.04262924194336,1446816
2000-11-24,True Office,TRU,3.5303729150726824,0
2000-11-24,Tréneau,TRE,28.50756072998047,503193
2000-11-24,URW,URW,6.343175126388858,0
2000-11-24,Vélo là,VEL,16.44038200378418,1790737
2000-11-27,Airtaxi,AIR,15.580305660087612,0
2000-11-27,ArcelOrbital,ARC,25.1199850826962,0
2000-11-27,Atlantis,ATL,12.332588433646114,0
2000-11-27,Bearing,BEA,91.88282775878906,301914
2000-11-27,CURCUMA,CUR,18.962160110473633,7297450
2000-11-27,Capverseau,CAP,104.89869689941406,498738
2000-11-27,Cil Exotica,CIL,10.775455474853516,834221
2000-11-27,Croisement,CRO,34.19989776611328,1410882
2000-11-27,Dantwo,DAN,18.231674194335938,1687973
2000-11-27,Default Systèmes,DEF,7.358576774597168,2652030
2000-11-27,Desaxa,DES,6.87474250793457,15946671
2000-11-27,Eau gazeuse,EGA,13.923868179321289,2422931
2000-11-27,Edenbread,EDE,7.3975955018518755,0
2000-11-27,Eurobefore,AUB,5.101739426535565,0
2000-11-27,Eurofins Analyse,EUA,3.7481086254119873,963830
2000-11-27,FDP,FDP,12.222103118896484,4687172
2000-11-27,Herpès Local,HER,41.633941650390625,69810
2000-11-27,Kenji,KEN,10.464235305786133,2463000
2000-11-27,L'Ofalso,LOF,61.948001861572266,827824
2000-11-27,LVMHASH,LVM,50.775211334228516,856474
2000-11-27,Leonard,LEO,5.6684088706970215,1111105
2000-11-27,Lepetit,LEP,9.744152315720257,0
2000-11-27,Mandarine,MAN,26.256872177124023,2703735
2000-11-27,Micheline,MIC,3.7407736778259277,1158859
2000-11-27,Milesios,MIL,28.459095001220703,140540
2000-11-27,Padaccor,PAD,4.671267986297607,448627
2000-11-27,Paindépice Groupe,PAI,20.747896194458008,311763
2000-11-27,Paris-Barque,PAR,13.498750686645508,4937665
2000-11-27,Pinot-Pinard,PP,12.792458534240723,324308
2000-11-27,Pouic,POU,15.049874305725098,828459
2000-11-27,Prêt Industriel,PRE,-52.232564315963785,0
2000-11-27,STMicrofibres,STM,20.293604182299273,0
2000-11-27,Saint-Gobelin,SAG,18.401016235351562,501548
2000-11-27,Sanufo,SAN,27.516979217529297,1153997
2000-11-27,Schneider Electric,SCH,17.525203704833984,521748
2000-11-27,Société générale,SOG,22.008346557617188,1777520
2000-11-27,True Office,TRU,3.6018227113461756,0
2000-11-27,Tréneau,TRE,28.76601791381836,384003
2000-11-27,URW,URW,6.471552094321223,0
2000-11-27,Vélo là,VEL,16.711380004882812,316472
2000-11-28,Airtaxi,AIR,15.489322647665603,0
2000-11-28,ArcelOrbital,ARC,24.97329399943495,0
2000-11-28,Atlantis,ATL,12.260570844830232,0
2000-11-28,Bearing,BEA,91.00856018066406,790530
2000-11-28,CURCUMA,CUR,19.230342864990234,26007075
2000-11-28,Capverseau,CAP,101.32257843017578,447943
2000-11-28,Cil Exotica,CIL,10.769012451171875,3705272
2000-11-28,Croisement,CRO,33.760807037353516,5353951
2000-11-28,Dantwo,DAN,18.867380142211914,8463777
2000-11-28,Default Systèmes,DEF,7.055047035217285,7181340
2000-11-28,Desaxa,DES,6.748213768005371,50018014
2000-11-28,Eau gazeuse,EGA,13.858365058898926,7942709
2000-11-28,Edenbread,EDE,7.3543963799526075,0
2000-11-28,Eurobefore,AUB,5.0719472240111045,0
2000-11-28,Eurofins Analyse,EUA,3.9207184314727783,3206840
2000-11-28,FDP,FDP,12.157736778259277,17499368
2000-11-28,Herpès Local,HER,40.01755905151367,100356
2000-11-28,Kenji,KEN,10.675186157226562,4669500
2000-11-28,L'Ofalso,LOF,60.70231628417969,2261757
2000-11-28,LVMHASH,LVM,50.21104431152344,672665
2000-11-28,Leonard,LEO,5.860559940338135,3386282
2000-11-28,Lepetit,LEP,9.687250201568913,0
2000-11-28,Mandarine,MAN,24.942834854125977,2951013
2000-11-28,Micheline,MIC,3.71840763092041,8353878
2000-11-28,Milesios,MIL,28.00754165649414,1353135
2000-11-28,Padaccor,PAD,4.544422149658203,967873
2000-11-28,Paindépice Groupe,PAI,20.564485549926758,445918
2000-11-28,Paris-Barque,PAR,13.395030975341797,3436007
2000-11-28,Pinot-Pinard,PP,12.913350105285645,308940
2000-11-28,Pouic,POU,14.370538711547852,2814563
2000-11-28,Prêt Industriel,PRE,-51.92754616345304,0
2000-11-28,STMicrofibres,STM,20.17509731332716,0
2000-11-28,Saint-Gobelin,SAG,18.43658447265625,7215324
2000-11-28,Sanufo,SAN,28.081533432006836,6783246
2000-11-28,Schneider Electric,SCH,17.500835418701172,334278
2000-11-28,Société générale,SOG,21.528417587280273,997213
2000-11-28,True Office,TRU,3.580789447452787,0
2000-11-28,Tréneau,TRE,28.9727783203125,2047190
2000-11-28,URW,URW,6.4337607109277855,0
2000-11-28,Vélo là,VEL,17.022119522094727,541969
2000-11-29,Airtaxi,AIR,15.525552937485433,0
2000-11-29,ArcelOrbital,ARC,25.031707766126793,0
2000-11-29,Atlantis,ATL,12.289248924896677,0
